session_year,volume_label,pdf_url,verified,size_bytes
1925,Vol1_Chapters,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1925/25Vol1_Chapters.pdf,,
1925,Vol1_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1925/25Vol1_Index.pdf,,
1927,Vol1_Constitution,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1927/27vol1_Constitution.pdf,,
1927,Vol1_Measures,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1927/27vol1_Measures.pdf,,
1927,Vol1_Chapters,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1927/27vol1_Chapters.pdf,,
1927,Vol1_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1927/27vol1_Index.pdf,,
1927,Vol1_26Chapters,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1927/27vol1_26%20chapters.pdf,,
1929,Vol1_Constitution,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1929/29Vol1_Constitution.pdf,,
1929,Vol1_Measures,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1929/29Vol1_Measures.pdf,,
1929,Vol1_29Chapters,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1929/29Vol1_29Chapters.pdf,,
1929,Vol1_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1929/29Vol1_Index.pdf,,
1929,Vol1_28Chapters,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1929/29Vol1_28Chapters.pdf,,
1931,Vol1_Constitution,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1931/31vol1_Constitution.pdf,,
1931,Vol1_Measures,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1931/31vol1_Measures.pdf,,
1931,Vol1_Chapters,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1931/31vol1_Chapters.pdf,,
1931,Vol1_TableStat,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1931/31vol1_TableStat.pdf,,
1931,Vol1_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1931/31vol1_Index.pdf,,
1933,Vol1_Constitution,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1933/33Vol1_Constitution.pdf,,
1933,Vol1_Measures,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1933/33Vol1_Measures.pdf,,
1933,Vol1_Chapters,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1933/33Vol1_Chapters.pdf,,
1933,Vol1_TablesStat,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1933/33Vol1_TablesStat.pdf,,
1933,Vol1_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1933/33Vol1_Index.pdf,,
1935,Vol1_Constitution,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1935/35Vol1_Constitution.pdf,,
1935,Vol1_Measures,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1935/35Vol1_Measures.pdf,,
1935,Vol1_Chapters,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1935/35Vol1_Chapters.pdf,,
1935,Vol1_StatRecord,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1935/35Vol1_StatRecord.pdf,,
1935,Vol1_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1935/35Vol1_Index.pdf,,
1935,Vol1_34Chapters,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1935/35Vol1_34Chapters.pdf,,
1937,Vol1_Constitution,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1937/37vol1_Constitution.pdf,,
1937,Vol1_Tables,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1937/37vol1_Tables.pdf,,
1937,Vol1_Measures,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1937/37vol1_Measures.pdf,,
1937,Vol1_Chapters,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1937/37vol1_Chapters.pdf,yes,163564634
1937,Vol1_StatRecord,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1937/37vol1_StatRecord.pdf,,
1937,Vol1_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1937/37vol1_Index.pdf,,
