[2026-06-01 19:02 PT] MANIFEST | Manifest saved | OK
[2026-06-01 19:02 PT] PROGRESS | File 34/64: 1970_Vol2_Chapters.pdf | OK
[2026-06-01 19:02 PT] RETRY | START 1970_Vol2_Chapters.pdf | OK
[2026-06-01 19:02 PT] HEAD | 1970_Vol2_Chapters.pdf: Content-Length=94,730,377 | OK
[2026-06-01 19:02 PT] EXISTING | 1970_Vol2_Chapters.pdf: corrupt file present (94,730,377 bytes), removing | WARN
[2026-06-01 19:02 PT] ATTEMPT | 1970_Vol2_Chapters.pdf attempt 1/5 | OK
[2026-06-01 19:02 PT] VERIFIED | 1970_Vol2_Chapters.pdf: OK (94,730,377 bytes, 1902 pages) | OK
[2026-06-01 19:02 PT] MANIFEST | Manifest saved | OK
[2026-06-01 19:02 PT] PROGRESS | File 35/64: 1969_Vol1_Chapters.pdf | OK
[2026-06-01 19:02 PT] RETRY | START 1969_Vol1_Chapters.pdf | OK
[2026-06-01 19:02 PT] HEAD | 1969_Vol1_Chapters.pdf: Content-Length=104,897,116 | OK
[2026-06-01 19:02 PT] EXISTING | 1969_Vol1_Chapters.pdf: corrupt file present (104,897,116 bytes), removing | WARN
[2026-06-01 19:02 PT] ATTEMPT | 1969_Vol1_Chapters.pdf attempt 1/5 | OK
[2026-06-01 19:03 PT] VERIFIED | 1969_Vol1_Chapters.pdf: OK (104,897,116 bytes, 2220 pages) | OK
[2026-06-01 19:03 PT] MANIFEST | Manifest saved | OK
[2026-06-01 19:03 PT] PROGRESS | File 36/64: 1971_Vol2.pdf | OK
[2026-06-01 19:03 PT] RETRY | START 1971_Vol2.pdf | OK
[2026-06-01 19:03 PT] HEAD | 1971_Vol2.pdf: Content-Length=93,208,143 | OK
[2026-06-01 19:03 PT] EXISTING | 1971_Vol2.pdf: corrupt file present (93,208,143 bytes), removing | WARN
[2026-06-01 19:03 PT] ATTEMPT | 1971_Vol2.pdf attempt 1/5 | OK
[2026-06-01 19:03 PT] VERIFIED | 1971_Vol2.pdf: OK (93,208,143 bytes, 1887 pages) | OK
[2026-06-01 19:03 PT] MANIFEST | Manifest saved | OK
[2026-06-01 19:03 PT] PROGRESS | File 37/64: 1971_Vol1_Chapters.pdf | OK
[2026-06-01 19:03 PT] RETRY | START 1971_Vol1_Chapters.pdf | OK
[2026-06-01 19:03 PT] HEAD | 1971_Vol1_Chapters.pdf: Content-Length=122,470,122 | OK
[2026-06-01 19:03 PT] EXISTING | 1971_Vol1_Chapters.pdf: corrupt file present (122,470,122 bytes), removing | WARN
[2026-06-01 19:03 PT] ATTEMPT | 1971_Vol1_Chapters.pdf attempt 1/5 | OK
[2026-06-01 19:04 PT] VERIFIED | 1971_Vol1_Chapters.pdf: OK (122,470,122 bytes, 2592 pages) | OK
[2026-06-01 19:04 PT] MANIFEST | Manifest saved | OK
[2026-06-01 19:04 PT] PROGRESS | File 38/64: 1975_Vol2_Chapters.pdf | OK
[2026-06-01 19:04 PT] RETRY | START 1975_Vol2_Chapters.pdf | OK
[2026-06-01 19:04 PT] HEAD | 1975_Vol2_Chapters.pdf: Content-Length=73,510,210 | OK
[2026-06-01 19:04 PT] EXISTING | 1975_Vol2_Chapters.pdf: corrupt file present (73,510,210 bytes), removing | WARN
