[2026-06-21 08:45 PT] OK |   ch1260: pg=165 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1261: pg=167 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1266: pg=171 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1275: pg=234 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1278: pg=238 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1279: pg=241 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1280: pg=243 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1282: pg=247 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1284: pg=250 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1285: pg=255 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1286: pg=258 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1288: pg=258 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1292: pg=269 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1295: pg=284 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1304: pg=302 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1305: pg=306 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1312: pg=321 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1319: pg=329 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1324: pg=345 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1329: pg=360 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1335: pg=391 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1337: pg=395 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1340: pg=399 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1353: pg=435 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1355: pg=438 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1356: pg=440 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1364: pg=530 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1372: pg=574 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1376: pg=598 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1378: pg=616 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1379: pg=621 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1381: pg=625 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1386: pg=639 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1387: pg=641 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1389: pg=656 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1392: pg=671 unconfirmed status=image_verified
