# gpu-monitor (python, per-sample flush) start
2026/06/23 18:42:32.830, 51, 100 %, 131.08 W, 32014 MiB, 32607 MiB
2026/06/23 18:42:47.879, 52, 100 %, 136.16 W, 32014 MiB, 32607 MiB
2026/06/23 18:43:02.928, 52, 100 %, 133.57 W, 32014 MiB, 32607 MiB
2026/06/23 18:43:17.982, 51, 100 %, 129.29 W, 32014 MiB, 32607 MiB
2026/06/23 18:43:33.033, 51, 100 %, 136.72 W, 32014 MiB, 32607 MiB
2026/06/23 18:43:48.082, 52, 100 %, 146.21 W, 32014 MiB, 32607 MiB
2026/06/23 18:44:03.134, 51, 100 %, 137.41 W, 32014 MiB, 32607 MiB
2026/06/23 18:44:18.182, 52, 100 %, 133.27 W, 32014 MiB, 32607 MiB
2026/06/23 18:44:33.227, 51, 100 %, 130.39 W, 32014 MiB, 32607 MiB
2026/06/23 18:44:48.272, 51, 100 %, 137.15 W, 32014 MiB, 32607 MiB
2026/06/23 18:45:03.325, 52, 100 %, 136.45 W, 32014 MiB, 32607 MiB
2026/06/23 18:45:18.366, 52, 100 %, 146.71 W, 32014 MiB, 32607 MiB
2026/06/23 18:45:33.412, 52, 100 %, 137.16 W, 32014 MiB, 32607 MiB
2026/06/23 18:45:48.456, 52, 100 %, 133.29 W, 32014 MiB, 32607 MiB
2026/06/23 18:46:03.497, 51, 100 %, 129.09 W, 32014 MiB, 32607 MiB
2026/06/23 18:46:18.535, 51, 100 %, 139.25 W, 32014 MiB, 32607 MiB
2026/06/23 18:46:33.578, 51, 100 %, 146.71 W, 32014 MiB, 32607 MiB
2026/06/23 18:46:48.615, 51, 100 %, 135.51 W, 32014 MiB, 32607 MiB
2026/06/23 18:47:03.666, 51, 100 %, 133.59 W, 32014 MiB, 32607 MiB
2026/06/23 18:47:18.722, 52, 100 %, 133.82 W, 32014 MiB, 32607 MiB
2026/06/23 18:47:33.776, 51, 100 %, 129.82 W, 32014 MiB, 32607 MiB
2026/06/23 18:47:48.833, 52, 100 %, 146.81 W, 32014 MiB, 32607 MiB
2026/06/23 18:48:03.879, 51, 100 %, 146.88 W, 32014 MiB, 32607 MiB
2026/06/23 18:48:18.928, 51, 100 %, 134.11 W, 32014 MiB, 32607 MiB
2026/06/23 18:48:33.978, 51, 100 %, 127.03 W, 32014 MiB, 32607 MiB
2026/06/23 18:48:49.026, 51, 100 %, 143.35 W, 32014 MiB, 32607 MiB
2026/06/23 18:49:04.077, 51, 100 %, 146.76 W, 32014 MiB, 32607 MiB
2026/06/23 18:49:19.117, 51, 100 %, 135.43 W, 32014 MiB, 32607 MiB
2026/06/23 18:49:34.174, 51, 100 %, 138.89 W, 32014 MiB, 32607 MiB
2026/06/23 18:49:49.218, 51, 100 %, 133.01 W, 32014 MiB, 32607 MiB
2026/06/23 18:50:04.259, 51, 100 %, 134.00 W, 32014 MiB, 32607 MiB
2026/06/23 18:50:19.307, 51, 100 %, 135.19 W, 32014 MiB, 32607 MiB
2026/06/23 18:50:34.350, 51, 100 %, 145.54 W, 32014 MiB, 32607 MiB
2026/06/23 18:50:49.397, 51, 100 %, 136.50 W, 32014 MiB, 32607 MiB
2026/06/23 18:51:04.443, 51, 100 %, 133.50 W, 32014 MiB, 32607 MiB
2026/06/23 18:51:19.492, 50, 100 %, 126.52 W, 32014 MiB, 32607 MiB
