[2026-06-23 23:09 PT] PAGE-AUDIT | production-1967-vol1-chapters: clean, 0 gaps (1855p; read=0.998) 20s | OK
[2026-06-23 23:10 PT] PAGE-AUDIT | production-1967-vol2: clean, 0 gaps (2015p; read=0.998) 22s | OK
[2026-06-23 23:10 PT] PAGE-AUDIT | production-1967-vol3-chapters: 2 missing pp in 2 gap(s) -> 166-166(1); 185-185(1) (945p; read=0.997) 11s | WARN
[2026-06-23 23:10 PT] PAGE-AUDIT | production-1968-vol1-chapters: clean, 0 gaps (1648p; read=0.998) 17s | OK
[2026-06-23 23:10 PT] PAGE-AUDIT | production-1968-vol2-chapters: clean, 0 gaps (1682p; read=0.996) 22s | OK
[2026-06-23 23:11 PT] PAGE-AUDIT | production-1969-vol1-chapters: clean, 0 gaps (2220p; read=0.999) 24s | OK
[2026-06-23 23:11 PT] PAGE-AUDIT | production-1969-vol2-chapters: clean, 0 gaps (2412p; read=0.975) 26s | OK
[2026-06-23 23:12 PT] PAGE-AUDIT | production-1970-vol1-chapters: 1 missing pp in 1 gap(s) -> 1648-1648(1) (2012p; read=0.995) 21s | WARN
[2026-06-23 23:12 PT] PAGE-AUDIT | production-1970-vol2-chapters: clean, 0 gaps (1902p; read=0.995) 20s | OK
[2026-06-23 23:12 PT] PAGE-AUDIT | production-1971-vol1-chapters: clean, 0 gaps (2592p; read=0.997) 30s | OK
[2026-06-23 23:13 PT] PAGE-AUDIT | production-1971-vol2: clean, 0 gaps (1887p; read=0.996) 23s | OK
[2026-06-23 23:13 PT] PAGE-AUDIT | production-1971-vol3-chapters: NOT AUDITABLE (low_support; 392p; read=0.995) 6s | WARN
[2026-06-23 23:13 PT] PAGE-AUDIT | production-1972-vol1-chapters: 2 missing pp in 1 gap(s) -> 896-897(2) (2586p; read=0.999) 27s | WARN
[2026-06-23 23:14 PT] PAGE-AUDIT | production-1972-vol2-chapters: clean, 0 gaps (948p; read=0.993) 10s | OK
[2026-06-23 23:14 PT] PAGE-AUDIT | production-1973-vol1-chapters: clean, 0 gaps (2288p; read=0.999) 24s | OK
[2026-06-23 23:14 PT] PAGE-AUDIT | production-1973-vol2-chapters: clean, 0 gaps (1071p; read=0.993) 13s | OK
[2026-06-23 23:15 PT] PAGE-AUDIT | production-1974-vol1-chapters: clean, 0 gaps (2530p; read=0.999) 29s | OK
[2026-06-23 23:15 PT] PAGE-AUDIT | production-1974-vol2-chapters: clean, 0 gaps (1422p; read=0.997) 17s | OK
[2026-06-23 23:15 PT] PAGE-AUDIT | production-1975-vol1-chapters: clean, 0 gaps (2620p; read=0.999) 28s | OK
[2026-06-23 23:16 PT] PAGE-AUDIT | production-1975-vol2-chapters: clean, 0 gaps (1419p; read=0.988) 16s | OK
[2026-06-23 23:16 PT] PAGE-AUDIT | production-1976-vol1-chapters: clean, 0 gaps (2364p; read=0.999) 25s | OK
[2026-06-23 23:17 PT] PAGE-AUDIT | production-1976-vol2: clean, 0 gaps (2222p; read=0.998) 27s | OK
[2026-06-23 23:17 PT] PAGE-AUDIT | production-1976-vol3: 4 missing pp in 2 gap(s) -> 82-84(3); 103-103(1) (2240p; read=0.998) 24s | WARN
[2026-06-23 23:17 PT] PAGE-AUDIT | production-1977-vol1-chapters: clean, 0 gaps (2308p; read=0.999) 25s | OK
[2026-06-23 23:18 PT] PAGE-AUDIT | production-1977-vol2: clean, 0 gaps (2434p; read=0.999) 29s | OK
[2026-06-23 23:18 PT] PAGE-AUDIT | production-1977-vol3-chapters: 3 missing pp in 2 gap(s) -> 100-100(1); 110-111(2) (225p; read=0.978) 3s | WARN
