[2026-06-01 23:50 PT] [1853] STAGE4-OCR | page 304 (301/314): engines=surya+doctr+tess agree=0.73 hi=True 2.5s | OK
[2026-06-01 23:50 PT] [1853] STAGE4-OCR | OCR done: 314 pages in 784.8s (2.50s/page) hi=158 lo=156 | OK
[2026-06-01 23:50 PT] [1853] STAGE4-OCR | Confidence distribution: {'high_>=0.65': 158, 'medium_0.50_0.65': 142, 'low_<0.50': 14, 'mean_agreement': 0.6505, 'median_agreement': 0.6513} | OK
[2026-06-01 23:50 PT] [1853] STAGE5-PARSE | Parsing acts from consensus OCR text | OK
[2026-06-01 23:50 PT] [1853] STAGE5-PARSE | Parse done in 0.03s: confident=8 flagged_text_only=126 | OK
[2026-06-01 23:50 PT] [1853] STAGE6-INGEST | Starting DB ingest (idempotent on content_sha256) | OK
[2026-06-01 23:50 PT] [1853] STAGE6-INGEST | Updated skeleton source_document id=4 with real data | OK
[2026-06-01 23:50 PT] [1853] STAGE6-INGEST | Ingesting 8 confident acts | OK
[2026-06-01 23:50 PT] [1853] STAGE6-INGEST | Ingest done: enactments=3 provisions=3 change_events=3 skipped_dup=5 failed=0 | OK
[2026-06-01 23:50 PT] [1853] STAGE6-INGEST | Flagged text-only acts (NOT ingested as structured): 126 | WARN
[2026-06-01 23:50 PT] [1853] STAGE6-INGEST | Final DB counts: source_document=20 enactment=1238 provision=1238 change_event=1238 | OK
[2026-06-01 23:50 PT] [1853] REPORT | === VOLUME COMPLETE: 1853 === | OK
[2026-06-01 23:50 PT] [1853] REPORT | PDF: 1853_Statutes.pdf | 318 pages | SHA256=b84b34aedc93d4e9aba07af7b53352d5d812b3f67db818913604c04a97f140d3 | OK
[2026-06-01 23:50 PT] [1853] REPORT | Render: 14.3s | Preprocess: 264.7s | OCR: 784.8s | Parse: 0.03s | TOTAL: 1063.9s (17.7 min) | OK
[2026-06-01 23:50 PT] [1853] REPORT | OCR: 314 body pages | 2.50s/page | 24.0 p/min | Surya=True engines=surya+doctr+tesseract-5 | OK
[2026-06-01 23:50 PT] [1853] REPORT | Confidence: {'high_>=0.65': 158, 'medium_0.50_0.65': 142, 'low_<0.50': 14, 'mean_agreement': 0.6505, 'median_agreement': 0.6513} | OK
[2026-06-01 23:50 PT] [1853] REPORT | Acts: confident=8 flagged=126 | OK
[2026-06-01 23:50 PT] [1853] REPORT | DB: src_doc_id=4 enactments=3 provisions=3 change_events=3 | OK
