vol	page	tier	kind	margin_words	head	tail	joined	margin_text
production-1863	620	HYPHEN	margin	32	su	bhall	subhall	porvisors thereupon pay the owners of said road tho value so | ascertained said owners shall assign and transfer said road to | said city and county and the franchise to collect toll thereon
production-1863	622	NOHYPHEN	adjacent	0	jurisdic	tion	jurisdiction	
production-1863	634	HYPHEN	margin	22	appro	priated	appropriated	dollars and fifty cents is hereby appropriated out of any monoy | in tho General Fund in the Stato Treasury not otherwise appro
production-1863	669	HYPHEN	blankgap	0	treas	urer	treasurer	
production-1863	680	HYPHEN	blankgap	0	exam	iners	examiners	
production-1863	685	NOHYPHEN	adjacent	0	misde	meanor	misdemeanor	
production-1863	701	HYPHEN	blankgap	0	re	quired	required	
production-1863	704	HYPHEN	blankgap	0	ren	dered	rendered	
production-1863	721	HYPHEN	blankgap	0	prin	cipal	principal	
production-1863	732	HYPHEN	crosspage	0	sub	scriptions	subscriptions	->733
production-1863	735	HYPHEN	blankgap	0	con	stitution	constitution	
production-1863	738	HYPHEN	crosspage	0	re	quired	required	->739
production-1863	766	HYPHEN	blankgap	0	con	cerning	concerning	
production-1863	769	HYPHEN	blankgap	0	prop	erty	property	
production-1863	788	HYPHEN	blankgap	0	pro	ceeding	proceeding	
production-1863	794	HYPHEN	blankgap	0	reg	ulation	regulation	
production-1863	811	HYPHEN	blankgap	0	con	cealed	concealed	
production-1863	843	NOHYPHEN	margin	4	machiy	a	machiya	Rpeaker of the Assembly
production-1863-64	9	NOHYPHEN	adjacent	0	notwith	standing	notwithstanding	
production-1863-64	29	SPACESPLIT	spacesplit2	0	incen	diaries	incendiaries	
production-1863-64	47	HYPHEN	blankgap	0	inhab	itants	inhabitants	
production-1863-64	51	HYPHEN	blankgap	0	be	havior	behavior	
production-1863-64	57	HYPHEN	crosspage	0	dis	trict	district	->58
production-1863-64	58	HYPHEN	blankgap	0	pun	ishments	punishments	
production-1863-64	84	HYPHEN	blankgap	0	con	stitution	constitution	
production-1863-64	102	HYPHEN	margin	33	pro	ficiency	proficiency	vided for in this Act | Sec In case there be no such funds so received from any peice | one or more of said townships or in case there should be a de tanés
production-1863-64	108	HYPHEN	blankgap	0	authoriz	ing	authorizing	
production-1863-64	123	HYPHEN	crosspage	0	em	ployer	employer	->124
production-1863-64	160	HYPHEN	blankgap	0	misde	meanor	misdemeanor	
production-1863-64	172	HYPHEN	blankgap	0	imme	diately	immediately	
production-1863-64	172	NOHYPHEN	adjacent	0	detri	ment	detriment	
production-1863-64	190	HYPHEN	blankgap	0	expendi	tures	expenditures	
production-1863-64	202	HYPHEN	blankgap	0	asso	ciates	associates	
